"","x"
"527","USGS-402055111480201"
"528","USGS-402056111472401"
"529","USGS-402056111541901"
"530","USGS-402100111541701"
"531","USGS-402103111461601"
"532","USGS-402103111540401"
"533","USGS-402105111472601"
"534","USGS-402107111442401"
"535","USGS-402110111442501"
"536","USGS-402110111541001"
"537","USGS-402112111481601"
"538","USGS-402113111442101"
"539","USGS-402113111540501"
"540","USGS-402115111542001"
"541","USGS-402118111443801"
"542","USGS-402118111444101"
"543","USGS-402118111484201"
"544","USGS-402118111594501"
"545","USGS-402119111425501"
"546","USGS-402125111463901"
"547","USGS-402125111550501"
"548","USGS-402129111480301"
"549","USGS-402132111444001"
"550","USGS-402133111484601"
"551","USGS-402134111534700"
"552","USGS-402135111541501"
"553","USGS-402136111480401"
"554","USGS-402136111534501"
"555","USGS-402136111534502"
"556","USGS-402136111534601"
"557","USGS-402140111462401"
"558","USGS-402141111422201"
"559","USGS-402142112022001"
"560","USGS-402144111514501"
"561","USGS-402145111420701"
"562","USGS-402145111443501"
"563","USGS-402145111531101"
"564","USGS-402145111531201"
"565","USGS-402145111533601"
"566","USGS-402146111463601"
"567","USGS-402148111462501"
"568","USGS-402149111484901"
"569","USGS-402150111461301"
"570","USGS-402152111471301"
"571","USGS-402152111530701"
"572","USGS-402153111415501"
"573","USGS-402154111495101"
"574","USGS-402156111525701"
"575","USGS-402157111452401"
"576","USGS-402157111532301"
"577","USGS-402159111520101"
"578","USGS-402201111521001"
"579","USGS-402201111525801"
"580","USGS-402201111531301"
"581","USGS-402205111500601"
"582","USGS-402205111500701"
"583","USGS-402206111503400"
"584","USGS-402206111530801"
"585","USGS-402207111474001"
"586","USGS-402207111525101"
"587","USGS-402208111481501"
"588","USGS-402210111520601"
"589","USGS-402214111494401"
"590","USGS-402214111532901"
"591","USGS-402215111434701"
"592","USGS-402215111454201"
"593","USGS-402215111494501"
"594","USGS-402215111494801"
"595","USGS-402218111524801"
"596","USGS-402219111523401"
"597","USGS-402219111524701"
"598","USGS-402220111453201"
"599","USGS-402220111490501"
"600","USGS-402220111525301"
"601","USGS-402221111530501"
"602","USGS-402222111530601"
"603","USGS-402222111545801"
"604","USGS-402223111495800"
"605","USGS-402226111520000"
"606","USGS-402227111473901"
"607","USGS-402228111482001"
"608","USGS-402230111442501"
"609","USGS-402230111523801"
"610","USGS-402234111424601"
"611","USGS-402234111511501"
"612","USGS-402235111511501"
"613","USGS-402236111511501"
"614","USGS-402236111575101"
"615","USGS-402238111422501"
"616","USGS-402238111500700"
"617","USGS-402240111440601"
"618","USGS-402240111532001"
"619","USGS-402241111513101"
"620","USGS-402243111495201"
"621","USGS-402245111424501"
"622","USGS-402245111585301"
"623","USGS-402246111493401"
"624","USGS-402246111505101"
"625","USGS-402246111532701"
"626","USGS-402250111503001"
"627","USGS-402250111531001"
"628","USGS-402251111454101"
"629","USGS-402251111503701"
"630","USGS-402252111545401"
"631","USGS-402255111515900"
"632","USGS-402257111502101"
"633","USGS-402259111525201"
"634","USGS-402301111462501"
"635","USGS-402301111545801"
"636","USGS-402303111431001"
"637","USGS-402303111553001"
"638","USGS-402305111481601"
"639","USGS-402306111493601"
"640","USGS-402308111500501"
"641","USGS-402308111583801"
"642","USGS-402309111510901"
"643","USGS-402312111512601"
"644","USGS-402312111523601"
"645","USGS-402320111524501"
"646","USGS-402320111540601"
"647","USGS-402322111555201"
"648","USGS-402323111525101"
"649","USGS-402325111505101"
"650","USGS-402327111512401"
"651","USGS-402328111510801"
"652","USGS-402330111453001"
"653","USGS-402330111500001"
"654","USGS-402332111522501"
"655","USGS-402332111534301"
"656","USGS-402333111471901"
"657","USGS-402336111522601"
"658","USGS-402336111534801"
"659","USGS-402336111534802"
"660","USGS-402352111510001"
"661","USGS-402355111531501"
"662","USGS-402356111512401"
"663","USGS-402358111491701"
"664","USGS-402359111491301"
"665","USGS-402359111491901"
"666","USGS-402401111480801"
"667","USGS-402402111494401"
"668","USGS-402407111450301"
"669","USGS-402410111491501"
"670","USGS-402418111525501"
"671","USGS-402419111471601"
"672","USGS-402420111500401"
"673","USGS-402420111504201"
"674","USGS-402420111505701"
"675","USGS-402420111535701"
"676","USGS-402423111471801"
"677","USGS-402425111502401"
"678","USGS-402425111522701"
"679","USGS-402425111540301"
"680","USGS-402427112104701"
"681","USGS-402430112110901"
"682","USGS-402432111502301"
"683","USGS-402438111505501"
"684","USGS-402439111540101"
"685","USGS-402443111521001"
"686","USGS-402445111505700"
"687","USGS-402446111455201"
"688","USGS-402449111453301"
"689","USGS-402449111491501"
"690","USGS-402450111450601"
"691","USGS-402455111471301"
"692","USGS-402503111520001"
"693","USGS-402505111470100"
"694","USGS-402514111480701"
"695","USGS-402515111544301"
"696","USGS-402517111494801"
"697","USGS-402517111494901"
"698","USGS-402518111462701"
"699","USGS-402519111494701"
"700","USGS-402525111494901"
"701","USGS-402525111495201"
"702","USGS-402527111473201"
"703","USGS-402530111504801"
"704","USGS-402534111530700"
"705","USGS-402537111512701"
"706","USGS-402537111531501"
"707","USGS-402538111463201"
"708","USGS-402538111510001"
"709","USGS-402539111511601"
"710","USGS-402539111531301"
"711","USGS-402540111490701"
"712","USGS-402540111502901"
"713","USGS-402542111520901"
"714","USGS-402545111453001"
"715","USGS-402545111490801"
"716","USGS-402546111492100"
"717","USGS-402550111451801"
"718","USGS-402550111471801"
"719","USGS-402552111472801"
"720","USGS-402556111453301"
"721","USGS-402558111452601"
"722","USGS-402558111452602"
"723","USGS-402601111492601"
"724","USGS-402602111483901"
"725","USGS-402605111481101"
"726","USGS-402610111480001"
"727","USGS-402614111540000"
"728","USGS-402615111423901"
"729","USGS-402617111423801"
"730","USGS-402619112081001"
"731","USGS-402621111463301"
"732","USGS-402622111460701"
"733","USGS-402622111540601"
"734","USGS-402627112021801"
"735","USGS-402628112090601"
"736","USGS-402636111545101"
"737","USGS-402652111540301"
"738","USGS-402701112100001"
"739","USGS-402702111464400"
"740","USGS-402709111461901"
"741","USGS-402709111525201"
"742","USGS-402723111445401"
"743","USGS-402727112114801"
"744","USGS-402826111454801"
"745","USGS-402835111452502"
"746","USGS-402837111444201"
"747","USGS-402839111465101"
"748","USGS-402901111444601"
"749","USGS-402908111453001"
"750","USGS-402910111453001"
"751","UTAHDWQ_WQX-4915000"
"752","UTAHDWQ_WQX-4916310"
"753","UTAHDWQ_WQX-4917300"
"754","UTAHDWQ_WQX-4917310"
"755","UTAHDWQ_WQX-4917320"
"756","UTAHDWQ_WQX-4917330"
"757","UTAHDWQ_WQX-4917340"
"758","UTAHDWQ_WQX-4917370"
"759","UTAHDWQ_WQX-4917380"
"760","UTAHDWQ_WQX-4917390"
"761","UTAHDWQ_WQX-4917400"
"762","UTAHDWQ_WQX-4917410"
"763","UTAHDWQ_WQX-4917420"
"764","UTAHDWQ_WQX-4917433"
"765","UTAHDWQ_WQX-4917450"
"766","UTAHDWQ_WQX-4917470"
"767","UTAHDWQ_WQX-4917500"
"768","UTAHDWQ_WQX-4917510"
"769","UTAHDWQ_WQX-4917520"
"770","UTAHDWQ_WQX-4917530"
"771","UTAHDWQ_WQX-4917600"
"772","UTAHDWQ_WQX-4917620"
"773","UTAHDWQ_WQX-4917700"
"774","UTAHDWQ_WQX-4917710"
"775","UTAHDWQ_WQX-4917770"
"776","UTAHDWQ_WQX-4931470"
"777","UTAHDWQ_WQX-4932817"
"778","UTAHDWQ_WQX-4932830"
"779","UTAHDWQ_WQX-4933090"
"780","UTAHDWQ_WQX-4933095"
"781","UTAHDWQ_WQX-4993000"
"782","UTAHDWQ_WQX-4994740"
"783","UTAHDWQ_WQX-4994750"
"784","UTAHDWQ_WQX-4994760"
"785","UTAHDWQ_WQX-4994770"
"786","UTAHDWQ_WQX-4994790"
"787","UTAHDWQ_WQX-4994800"
"788","UTAHDWQ_WQX-4994850"
"789","UTAHDWQ_WQX-4994852"
"790","UTAHDWQ_WQX-4994870"
"791","UTAHDWQ_WQX-4994930"
"792","UTAHDWQ_WQX-4994940"
"793","UTAHDWQ_WQX-4994950"
"794","UTAHDWQ_WQX-4994960"
"795","UTAHDWQ_WQX-4994970"
"796","UTAHDWQ_WQX-4994980"
"797","UTAHDWQ_WQX-4994983"
"798","UTAHDWQ_WQX-4994990"
"799","UTAHDWQ_WQX-4995000"
"800","UTAHDWQ_WQX-4995038"
"801","UTAHDWQ_WQX-4995040"
"802","UTAHDWQ_WQX-4995080"
"803","UTAHDWQ_WQX-4995090"
"804","UTAHDWQ_WQX-4995100"
"805","UTAHDWQ_WQX-4995110"
"806","UTAHDWQ_WQX-4995120"
"807","UTAHDWQ_WQX-4995123"
"808","UTAHDWQ_WQX-4995125"
"809","UTAHDWQ_WQX-4995150"
"810","UTAHDWQ_WQX-4995160"
"811","UTAHDWQ_WQX-4995190"
"812","UTAHDWQ_WQX-4995200"
"813","UTAHDWQ_WQX-4995210"
"814","UTAHDWQ_WQX-4995220"
"815","UTAHDWQ_WQX-4995230"
"816","UTAHDWQ_WQX-4995240"
"817","UTAHDWQ_WQX-4995250"
"818","UTAHDWQ_WQX-4995251"
"819","UTAHDWQ_WQX-4995252"
"820","UTAHDWQ_WQX-4995253"
"821","UTAHDWQ_WQX-4995254"
"822","UTAHDWQ_WQX-4995255"
"823","UTAHDWQ_WQX-4995256"
"824","UTAHDWQ_WQX-4995257"
"825","UTAHDWQ_WQX-4995258"
"826","UTAHDWQ_WQX-4995259"
"827","UTAHDWQ_WQX-4995260"
"828","UTAHDWQ_WQX-4995290"
"829","UTAHDWQ_WQX-4995310"
"830","UTAHDWQ_WQX-4995320"
"831","UTAHDWQ_WQX-4995400"
"832","UTAHDWQ_WQX-4995401"
"833","UTAHDWQ_WQX-4995405"
"834","UTAHDWQ_WQX-4995408"
"835","UTAHDWQ_WQX-4995410"
"836","UTAHDWQ_WQX-4995420"
"837","UTAHDWQ_WQX-4995421"
"838","UTAHDWQ_WQX-4995430"
"839","UTAHDWQ_WQX-4995440"
"840","UTAHDWQ_WQX-4995450"
"841","UTAHDWQ_WQX-4995452"
"842","UTAHDWQ_WQX-4995460"
"843","UTAHDWQ_WQX-4995470"
"844","UTAHDWQ_WQX-4995480"
"845","UTAHDWQ_WQX-4995490"
"846","UTAHDWQ_WQX-4995510"
"847","UTAHDWQ_WQX-4995520"
"848","UTAHDWQ_WQX-4995530"
"849","UTAHDWQ_WQX-4995540"
"850","UTAHDWQ_WQX-4995570"
"851","UTAHDWQ_WQX-4995580"
"852","UTAHDWQ_WQX-4995590"
"853","UTAHDWQ_WQX-4995597"
"854","UTAHDWQ_WQX-4995600"
"855","UTAHDWQ_WQX-4995605"
"856","UTAHDWQ_WQX-4995610"
"857","UTAHDWQ_WQX-4995630"
"858","UTAHDWQ_WQX-4995640"
"859","UTAHDWQ_WQX-4995645"
"860","UTAHDWQ_WQX-4995660"
"861","UTAHDWQ_WQX-4995665"
"862","UTAHDWQ_WQX-4995670"
"863","UTAHDWQ_WQX-4995675"
"864","UTAHDWQ_WQX-4995680"
"865","UTAHDWQ_WQX-4995690"
"866","UTAHDWQ_WQX-4995693"
